ds,yhat,yhat_lower,yhat_upper
2024-05-01,115.50174125449418,80.28868152341724,147.1448624405933
2024-05-02,119.34247005040808,86.14329925146326,151.24046042008692
2024-05-03,118.75955842463921,84.57525568302954,152.47937001227172
2024-05-04,115.70182590255236,82.22766032154493,151.81033820220907
2024-05-05,113.65835825192549,77.68277352967661,146.82606346067539
2024-05-06,114.23371573690231,82.202812484037,149.0445615447308
2024-05-07,108.80144567440692,74.87770218875382,141.773302171868
2024-05-08,105.7448565408958,73.01770571791052,138.34540715679526
2024-05-09,109.60235204190157,76.1302235017503,142.33886910799404
2024-05-10,109.18378487022356,75.33476658236452,144.14454585202725
2024-05-11,106.43233656908245,72.32668461068512,136.93854117146907
2024-05-12,104.82819691798115,72.43290138726488,137.9626479210387
2024-05-13,105.96403626194464,71.87244039164331,140.88129421154605
2024-05-14,101.19885613874249,65.98185044068562,135.4694019021918
2024-05-15,98.89916583526166,66.78350292778003,134.3938338564159
2024-05-16,103.58477202845191,70.72072805192953,136.39684414440958
2024-05-17,104.04562865268247,70.28132730680905,140.99990601562172
2024-05-18,102.20423984681325,67.52334450313046,135.2481556833473
2024-05-19,101.51987522984288,67.02859958832661,134.88966132692164
2024-05-20,103.56457653645207,69.56426233644449,137.11280242814848
2024-05-21,99.67752674909151,64.34268124959206,133.88676429845697
2024-05-22,98.20671569505842,64.58013659299426,130.46771184634122
2024-05-23,103.65517651676791,70.54623677275337,137.46895924148566
2024-05-24,104.79822868391835,72.07800951046673,139.08438965572887
2024-05-25,103.54621047268591,70.0656080012857,134.29170686618107
2024-05-26,103.34895206817313,71.68980965468789,137.93643422537454
2024-05-27,105.77196225288674,70.1923524906818,139.06705357127055
2024-05-28,102.15089593026262,68.26911465755622,135.44122315591727
2024-05-29,100.83323483415155,68.28601575856904,137.60447261926743
2024-05-30,106.32445651778698,71.4440621776735,141.09066334198167
2024-05-31,107.4051302264477,74.07778761584672,140.72847919732823
2024-06-01,105.9934276972341,73.61908322560434,138.97440903372623
2024-06-02,105.54930715657976,71.1204001233587,137.91005491071135
2024-06-03,107.6503523968231,76.33940213060806,140.62768073067812
2024-06-04,103.64584463827498,68.45316470148413,139.6124782944051
2024-06-05,101.89801122520818,64.88777805315121,135.58655975090605
2024-06-06,106.92773885465189,74.19759783124034,140.08227139374782
2024-06-07,107.53120309944855,72.05653324854404,143.82734386328346
2024-06-08,105.6419156096023,69.46139688825276,139.97207314221168
2024-06-09,104.73446041390189,70.40465496667561,139.17677293467867
2024-06-10,106.39991380045254,72.76651088713861,137.35977102143477
2024-06-11,101.99953717715874,65.61117225574841,136.19517589687865
2024-06-12,99.9056974381483,67.36334481526866,134.13237343092737
2024-06-13,104.6473114877721,70.32187257320902,138.6085805253811
2024-06-14,105.02627390634203,70.34875801961822,137.66155856814237
2024-06-15,102.97937440403378,68.61760411584619,137.01133434613794
2024-06-16,101.98197967074876,68.69365157420242,135.22786163316863
2024-06-17,103.62347512375686,71.61650181967174,137.2722233512227
2024-06-18,99.26105479693776,65.95470973456565,132.3276180632068
2024-06-19,97.26081059370101,63.63784037467165,133.50411293827628
2024-06-20,102.143412229528,68.32663708935598,134.68162535749173
2024-06-21,102.70082961819638,67.78038912729163,134.35360357660076
2024-06-22,100.8585954630071,67.5624427137272,135.19830950777597
2024-06-23,100.07987235099452,67.78868467103374,135.2082036318915
2024-06-24,101.94130842023223,69.54594192254969,136.45196624112958
2024-06-25,97.78725761250149,62.96920593095058,130.42229772269386
2024-06-26,95.97130304897205,60.457752779634816,131.9976855946547
2024-06-27,101.00236207356821,67.01975382777046,133.8005542771517
2024-06-28,101.66181220090695,66.24417865554996,134.7139572611766
2024-06-29,99.8661238272173,65.34785915322715,132.41935350812378
2024-06-30,99.0712530478785,65.27911382811773,134.04438541716783
2024-07-01,100.84852128401862,68.543364110403,133.98869650649058
2024-07-02,96.539787903133,62.49229521681299,130.607533939804
2024-07-03,94.49837126492537,60.11255877672562,126.89228107715445
2024-07-04,99.23546894632103,65.59002199227515,131.60344797749684
2024-07-05,99.53727561885636,64.67698058210438,131.90802018798655
2024-07-06,97.32753181707872,62.868956702880546,131.2532557499705
2024-07-07,96.07175879526247,60.93341814194768,127.52921253944635
2024-07-08,97.35315778790226,65.26954186230216,129.53129505644316
2024-07-09,92.52674744409616,58.01293004498299,126.0219004325232
2024-07-10,89.96067931076698,54.946032466983766,122.90031759560993
2024-07-11,94.18201479497162,59.48066976938944,125.34409770414757
2024-07-12,93.9934111452495,59.70248087271739,130.09573488165344
2024-07-13,91.33521380857158,57.52185379152966,125.95150048493437
2024-07-14,89.68922288672866,54.36356685575672,125.39074862014648
2024-07-15,90.65412493381989,57.63856551694277,124.3344414705764
2024-07-16,85.59917683586332,51.791521874497455,116.72500092575865
2024-07-17,82.90509430872804,47.66741345097461,116.83275316014414
2024-07-18,87.10944044934952,52.42043839265387,119.27840385091785
2024-07-19,87.02297290016381,53.24480392196024,120.99439262630474
2024-07-20,84.59145671518144,49.29336039944948,120.06889764114234
2024-07-21,83.29921882756307,49.460898182709634,116.48089089557965
2024-07-22,84.74444176446231,52.36001373581703,118.13729030107696
2024-07-23,80.29278777429553,45.820082171114,115.36389151491697
2024-07-24,78.31830827339633,44.29063377211084,111.34356670434437
