timestamp,active_power_kw,irradiance_wm2,temp_c,humidity,wind_mps,rain_prob,inv1_ac_kw,inv1_dc_kw,inv1_eff
2026-01-31 18:30:00+00:00,0.0,0.0,27.4,71.1,2.66,55.9,0.0,0.0,0.9401
2026-01-31 18:35:00+00:00,2.7,0.0,27.0,67.2,1.76,64.4,0.54,0.57,0.9487
2026-01-31 18:40:00+00:00,0.0,5.4,27.5,67.0,2.55,65.1,0.0,0.0,0.9458
2026-01-31 18:45:00+00:00,33.47,27.4,26.7,67.6,1.63,67.3,6.69,6.86,0.9751
2026-01-31 18:50:00+00:00,33.43,13.8,27.1,72.8,1.99,62.9,6.69,6.92,0.9666
2026-01-31 18:55:00+00:00,8.88,21.7,27.1,71.2,1.56,58.0,1.78,1.88,0.9424
2026-01-31 19:00:00+00:00,0.0,0.0,26.4,68.7,2.33,60.1,0.0,0.0,0.9482
2026-01-31 19:05:00+00:00,13.75,0.0,27.7,70.9,2.29,57.2,2.75,2.91,0.9462
2026-01-31 19:10:00+00:00,20.57,0.0,27.8,70.8,2.22,64.9,4.11,4.23,0.9737
2026-01-31 19:15:00+00:00,26.57,0.0,26.3,68.9,1.85,57.8,5.31,5.43,0.9782
2026-01-31 19:20:00+00:00,0.0,0.0,27.2,69.4,2.69,61.5,0.0,0.0,0.9499
2026-01-31 19:25:00+00:00,0.0,3.7,26.6,70.5,2.67,60.6,0.0,0.0,0.9837
2026-01-31 19:30:00+00:00,18.09,0.6,26.3,67.3,1.64,64.0,3.62,3.78,0.9578
2026-01-31 19:35:00+00:00,21.65,0.0,26.8,73.0,2.19,69.2,4.33,4.61,0.9393
2026-01-31 19:40:00+00:00,0.0,13.2,27.3,70.2,1.85,64.2,0.0,0.0,0.9584
2026-01-31 19:45:00+00:00,0.0,0.0,27.7,72.3,1.84,62.1,0.0,0.0,0.9799
2026-01-31 19:50:00+00:00,37.83,22.2,26.7,70.8,2.29,56.9,7.57,7.86,0.9631
2026-01-31 19:55:00+00:00,42.33,16.7,27.0,67.0,1.92,54.9,8.47,8.65,0.9783
2026-01-31 20:00:00+00:00,0.0,19.9,26.7,67.3,2.64,68.8,0.0,0.0,0.9607
2026-01-31 20:05:00+00:00,2.99,0.0,27.4,71.6,1.67,61.8,0.6,0.63,0.9507
2026-01-31 20:10:00+00:00,4.25,22.3,26.9,68.3,2.2,65.6,0.85,0.89,0.9528
2026-01-31 20:15:00+00:00,12.92,29.7,27.2,69.6,2.17,56.4,2.58,2.71,0.954
2026-01-31 20:20:00+00:00,0.0,5.3,26.6,68.3,1.59,64.1,0.0,0.0,0.9796
2026-01-31 20:25:00+00:00,0.0,21.6,26.3,68.4,2.37,57.8,0.0,0.0,0.9809
2026-01-31 20:30:00+00:00,0.0,4.3,27.0,71.7,2.55,57.5,0.0,0.0,0.9582
2026-01-31 20:35:00+00:00,0.0,0.0,26.9,71.4,2.38,69.4,0.0,0.0,0.9569
2026-01-31 20:40:00+00:00,0.0,0.0,27.6,68.5,1.75,61.4,0.0,0.0,0.9513
2026-01-31 20:45:00+00:00,0.0,0.0,27.7,69.7,2.62,62.9,0.0,0.0,0.9838
2026-01-31 20:50:00+00:00,19.08,20.2,27.8,72.6,2.6,57.1,3.82,4.02,0.9484
2026-01-31 20:55:00+00:00,17.04,0.0,26.3,69.3,2.78,58.6,3.41,3.55,0.9593
2026-01-31 21:00:00+00:00,0.0,0.0,27.7,73.0,2.22,65.4,0.0,0.0,0.9522
2026-01-31 21:05:00+00:00,32.93,28.1,27.1,70.3,2.47,55.5,6.59,6.85,0.9614
2026-01-31 21:10:00+00:00,26.74,21.2,26.5,72.8,1.6,57.4,5.35,5.52,0.9692
2026-01-31 21:15:00+00:00,7.16,0.0,26.4,72.3,1.82,63.5,1.43,1.5,0.9577
2026-01-31 21:20:00+00:00,0.0,5.0,27.0,72.6,1.77,65.4,0.0,0.0,0.9566
2026-01-31 21:25:00+00:00,7.73,10.3,26.7,68.9,2.48,55.7,1.55,1.57,0.9837
2026-01-31 21:30:00+00:00,52.46,29.8,26.3,68.3,1.84,68.6,10.49,10.72,0.9784
2026-01-31 21:35:00+00:00,29.23,0.0,26.5,72.0,2.41,63.8,5.85,6.04,0.9682
2026-01-31 21:40:00+00:00,0.0,0.0,27.5,68.8,2.36,68.7,0.0,0.0,0.944
2026-01-31 21:45:00+00:00,0.0,0.0,27.1,68.6,2.29,65.4,0.0,0.0,0.9673
2026-01-31 21:50:00+00:00,0.0,0.0,27.0,72.4,2.6,56.0,0.0,0.0,0.9513
2026-01-31 21:55:00+00:00,3.1,0.0,27.4,70.8,1.84,65.7,0.62,0.65,0.9581
2026-01-31 22:00:00+00:00,20.08,0.0,26.3,72.3,2.68,62.8,4.02,4.16,0.965
2026-01-31 22:05:00+00:00,21.64,0.0,26.4,68.8,2.67,66.6,4.33,4.42,0.9793
2026-01-31 22:10:00+00:00,0.0,0.0,26.6,67.6,2.51,67.9,0.0,0.0,0.9667
2026-01-31 22:15:00+00:00,22.88,0.0,27.7,72.2,2.77,66.8,4.58,4.87,0.9399
2026-01-31 22:20:00+00:00,32.74,14.2,26.7,72.6,2.54,67.6,6.55,6.89,0.9508
2026-01-31 22:25:00+00:00,36.14,17.2,26.4,72.2,2.62,58.0,7.23,7.53,0.9595
2026-01-31 22:30:00+00:00,0.0,0.0,27.5,68.4,1.53,57.5,0.0,0.0,0.9777
2026-01-31 22:35:00+00:00,30.0,28.0,26.6,70.8,2.02,69.3,6.0,6.12,0.9811
2026-01-31 22:40:00+00:00,0.0,0.0,27.8,68.1,2.75,58.6,0.0,0.0,0.9584
2026-01-31 22:45:00+00:00,18.21,13.7,26.7,70.6,2.16,60.4,3.64,3.83,0.9503
2026-01-31 22:50:00+00:00,26.98,12.5,26.2,72.6,2.2,65.4,5.4,5.57,0.969
2026-01-31 22:55:00+00:00,20.88,0.0,26.3,71.0,1.93,59.3,4.18,4.3,0.9712
2026-01-31 23:00:00+00:00,0.0,0.0,26.7,69.5,2.02,59.1,0.0,0.0,0.9577
2026-01-31 23:05:00+00:00,29.06,26.4,27.3,72.4,2.3,59.1,5.81,6.19,0.9388
2026-01-31 23:10:00+00:00,0.0,0.0,26.9,70.5,2.35,61.6,0.0,0.0,0.9484
2026-01-31 23:15:00+00:00,0.93,0.0,27.6,71.8,1.72,55.9,0.19,0.19,0.9673
2026-01-31 23:20:00+00:00,0.0,0.0,27.5,71.5,2.37,58.0,0.0,0.0,0.9399
2026-01-31 23:25:00+00:00,7.79,0.0,27.0,72.1,1.59,60.8,1.56,1.64,0.9476
2026-01-31 23:30:00+00:00,26.75,11.8,27.0,68.5,2.35,54.7,5.35,5.49,0.9735
2026-01-31 23:35:00+00:00,0.0,0.0,26.9,68.1,2.75,62.4,0.0,0.0,0.95
2026-01-31 23:40:00+00:00,26.47,20.9,26.9,71.8,2.37,69.4,5.29,5.39,0.9816
2026-01-31 23:45:00+00:00,26.15,23.5,27.2,71.3,2.16,67.1,5.23,5.34,0.9792
2026-01-31 23:50:00+00:00,30.45,14.6,27.0,68.6,1.82,64.2,6.09,6.33,0.9623
2026-01-31 23:55:00+00:00,0.0,7.6,26.6,67.5,1.87,58.7,0.0,0.0,0.9631
2026-02-01 00:00:00+00:00,0.0,0.0,26.6,71.2,2.42,55.6,0.0,0.0,0.9632
2026-02-01 00:05:00+00:00,11.73,0.0,26.5,69.5,2.68,63.4,2.35,2.4,0.9774
2026-02-01 00:10:00+00:00,37.03,15.9,26.8,67.0,1.96,65.9,7.41,7.54,0.9817
2026-02-01 00:15:00+00:00,0.0,0.0,27.4,70.3,2.28,57.9,0.0,0.0,0.9584
2026-02-01 00:20:00+00:00,0.0,0.0,26.7,71.1,2.03,57.1,0.0,0.0,0.9446
2026-02-01 00:25:00+00:00,15.86,7.3,26.2,69.4,2.23,55.0,3.17,3.36,0.9449
2026-02-01 00:30:00+00:00,15.67,0.0,26.3,69.3,1.78,59.5,3.13,3.28,0.9559
2026-02-01 00:35:00+00:00,31.82,29.8,27.7,68.5,1.64,54.9,6.36,6.47,0.9838
2026-02-01 00:40:00+00:00,19.84,38.3,27.9,70.9,2.55,68.9,3.97,4.22,0.9397
2026-02-01 00:45:00+00:00,37.29,21.5,27.9,70.4,1.88,65.1,7.46,7.88,0.9464
2026-02-01 00:50:00+00:00,44.33,73.4,27.3,71.9,2.88,56.2,8.87,9.3,0.9528
2026-02-01 00:55:00+00:00,107.11,100.7,27.9,71.3,1.76,65.0,21.42,22.71,0.9434
2026-02-01 01:00:00+00:00,98.06,108.7,28.5,67.7,2.97,66.4,19.61,20.47,0.9581
2026-02-01 01:05:00+00:00,128.9,102.6,28.3,72.1,2.8,56.2,25.78,26.65,0.9674
2026-02-01 01:10:00+00:00,145.76,129.1,28.6,71.4,3.02,58.7,29.15,30.27,0.963
2026-02-01 01:15:00+00:00,100.25,127.2,29.3,68.6,2.9,67.1,20.05,20.49,0.9785
2026-02-01 01:20:00+00:00,121.76,143.3,29.3,69.3,1.86,67.4,24.35,25.68,0.9484
2026-02-01 01:25:00+00:00,174.05,150.2,30.0,71.2,2.22,54.8,34.81,36.93,0.9427
2026-02-01 01:30:00+00:00,187.37,173.3,30.0,71.1,2.73,62.0,37.47,39.74,0.943
2026-02-01 01:35:00+00:00,191.52,199.6,29.5,70.5,2.53,62.6,38.3,39.39,0.9724
